source_site,city,district,title,listing_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,uskudar,"Alot Gayri̇menkul İstanbul Üsküdar Mehmet Akif Ersoy Mahallesi 2+1 Oda Kiralık Daire 72,000 TL #19436248",https://www.emlakjet.com/ilan/emlak-konut-21-yuksek-kat-19436248,2026-06-07 23:08:29,72000,2+1,19436248,Mehmet Akif Ersoy,80,102,0 (Yeni),03 Haziran 2026,2.Kat,6,Yerden Isıtma,Boş,Boş,1
Emlakjet,istanbul,uskudar,"Alot Gayri̇menkul İstanbul Üsküdar Bahçelievler Mahallesi 5+2 Oda Kiralık Daire 115,000 TL #19436247",https://www.emlakjet.com/ilan/cengelkoy-dublex-deniz-manzarali-kiralik-daire-19436247,2026-06-07 23:08:33,115000,5+2,19436247,Bahçelievler,180,220,0 (Yeni),03 Haziran 2026,6.Kat,6,Kombi Doğalgaz,Boş,Boş,4
Emlakjet,istanbul,uskudar,"Atılgan Emlak İstanbul Üsküdar Ferah Mahallesi 4+1 Oda Kiralık Daire 100,000 TL #19435953",https://www.emlakjet.com/ilan/uskudar-ferah-mahallesinde-manzarali-terasli-41-dubleks-19435953,2026-06-07 23:08:36,100000,4+1,19435953,Ferah,280,300,16-20,03 Haziran 2026,3.Kat,3,Kombi Doğalgaz,Boş,Boş,2
Emlakjet,istanbul,uskudar,"Net Gayri̇menkul İstanbul Üsküdar Ahmediye Mahallesi 2+1 Oda Kiralık Daire 26,000 TL #19435538",https://www.emlakjet.com/ilan/net-ten-uskudar-da-kiralik-21-19435538,2026-06-07 23:08:39,26000,2+1,19435538,Ahmediye,60,70,21 Ve Üzeri,07 Haziran 2026,Bahçe Katı,5,Kombi Doğalgaz,,,1
Emlakjet,istanbul,uskudar,"Karaman İnşaat Emlak İstanbul Üsküdar Muratreis Mahallesi 2+1 Oda Kiralık Daire 25,000 TL #19435224",https://www.emlakjet.com/ilan/nev-carsiya-cok-yakin-19435224,2026-06-07 23:08:43,25000,2+1,19435224,Muratreis,65,70,21 Ve Üzeri,03 Haziran 2026,3.Kat,3,Kombi Doğalgaz,,,2
Emlakjet,istanbul,uskudar,"Sahibinden İstanbul Üsküdar Çengelköy Mahallesi 3+1 Oda Kiralık Daire 50,000 TL #19434187",https://www.emlakjet.com/ilan/cengelkoy-de-31-kiralik-19434187,2026-06-07 23:08:45,50000,3+1,19434187,Çengelköy,100,105,21 Ve Üzeri,03 Haziran 2026,3.Kat,3,Kombi Doğalgaz,,,1
Emlakjet,istanbul,uskudar,"As Emlak İstanbul Üsküdar Mimar Sinan Mahallesi 2+1 Oda Kiralık Daire 40,000 TL #19433421",https://www.emlakjet.com/ilan/as-emlaktan-21-universitenin-ust-kisminda-marmaraya-yakin-daire-19433421,2026-06-07 23:08:48,40000,2+1,19433421,Mimar Sinan,80,85,21 Ve Üzeri,03 Haziran 2026,4.Kat,4,Kombi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş Aidat 250 TL Depozito 40000 TL,1
Emlakjet,istanbul,uskudar,"Nokta Emlak İstanbul Üsküdar Ahmediye Mahallesi 2+1 Oda Kiralık Daire 30,000 TL #19432305",https://www.emlakjet.com/ilan/uskudar-merkez-de-21-esyali-ici-yenilenmis-bahceli-temiz-daire-19432305,2026-06-07 23:08:52,30000,2+1,19432305,Ahmediye,70,75,21 Ve Üzeri,03 Haziran 2026,Bahçe Katı,3,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,uskudar,"Pera Grup Emlak İstanbul Üsküdar Bulgurlu Mahallesi 2+1 Oda Kiralık Daire 45,000 TL #19431904",https://www.emlakjet.com/ilan/peradan-bulgurlu-mah-metroya-yakin-genis-21-kiralik-daire-19431904,2026-06-07 23:08:55,45000,2+1,19431904,Bulgurlu,90,110,11-15,02 Haziran 2026,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,uskudar,"Realist Gayrimenkul İstanbul Üsküdar Çengelköy Mahallesi 3+1 Oda Kiralık Daire 42,000 TL #19431196",https://www.emlakjet.com/ilan/cengelkoy-beynun-akyavas-caddesine-yurume-mesafesinde-ferah-31-19431196,2026-06-07 23:08:58,42000,3+1,19431196,Çengelköy,110,130,21 Ve Üzeri,02 Haziran 2026,4.Kat,4,Kombi Doğalgaz,,,1
